rp,population,rp_start,rp_end,cont_enrollment,age_grp,gender,state,lob,plantyp,datasource,mm
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,2,CO,COMMERCIAL,CDHP/HDHP,IBM-MDCR,4
PRIOR,IP,4/1/2017,3/31/2018,1,0-17,2,GA,COMMERCIAL,Others,IBM-CCAE,1
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,1,UN,COMMERCIAL,Others,IBM-CCAE,7973
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,1,WV,COMMERCIAL,Unknown,IBM-MDCR,3
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,1,AL,COMMERCIAL,HMO,IBM-CCAE,15
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,2,PA,COMMERCIAL,Non-Cap POS,IBM-CCAE,2186
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,1,MI,COMMERCIAL,Others,IBM-MDCR,31113
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,1,KS,COMMERCIAL,Unknown,IBM-CCAE,1246
CURRENT,IP,4/1/2018,3/31/2019,0,55-64,2,WI,COMMERCIAL,Others,IBM-CCAE,25
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,MT,COMMERCIAL,Unknown,IBM-CCAE,32
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,1,KS,COMMERCIAL,CDHP/HDHP,IBM-CCAE,934
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,M,MIDDLE ATLANTIC,COM,HMO,OPTUM-SES,1321
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,2,AK,COMMERCIAL,Others,IBM-CCAE,12
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,2,PR,COMMERCIAL,Non-Cap POS,IBM-CCAE,3
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,2,ME,COMMERCIAL,Unknown,IBM-CCAE,5
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,CT,COMMERCIAL,Others,IBM-MDCR,1914
CURRENT,B.O.B,4/1/2018,3/31/2019,0,0-17,1,RI,COMMERCIAL,Non-Cap POS,IBM-CCAE,227
CURRENT,B.O.B,4/1/2018,3/31/2019,0,0-17,F,WEST SOUTH CENTRAL,COM,POS,OPTUM-SES,20622
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,1,WA,COMMERCIAL,PPO,IBM-MDCR,8
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,ME,COMMERCIAL,HMO,IBM-CCAE,270
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,2,ND,COMMERCIAL,Non-Cap POS,IBM-CCAE,192
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,1,NC,COMMERCIAL,CDHP/HDHP,IBM-MDCR,177
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,1,DC,COMMERCIAL,CDHP/HDHP,IBM-CCAE,840
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,F,MOUNTAIN,MCR,POS,OPTUM-SES,17
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,1,WY,COMMERCIAL,CDHP/HDHP,IBM-CCAE,8
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,1,RI,COMMERCIAL,PPO,IBM-CCAE,19
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,2,MT,COMMERCIAL,CDHP/HDHP,IBM-CCAE,47
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,2,MN,COMMERCIAL,Others,IBM-MDCR,125
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,2,KS,COMMERCIAL,HMO,IBM-CCAE,25
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,1,RI,COMMERCIAL,CDHP/HDHP,IBM-CCAE,122
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,ME,COMMERCIAL,Non-Cap POS,IBM-CCAE,304
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,1,AZ,COMMERCIAL,CDHP/HDHP,IBM-CCAE,65838
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,2,AL,COMMERCIAL,Non-Cap POS,IBM-CCAE,157
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,1,MN,COMMERCIAL,HMO,IBM-MDCR,18
PRIOR,IP,4/1/2017,3/31/2018,1,0-17,1,MI,COMMERCIAL,HMO,IBM-CCAE,251
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,1,ME,COMMERCIAL,CDHP/HDHP,IBM-CCAE,12087
PRIOR,IP,4/1/2017,3/31/2018,0,0-17,1,NC,COMMERCIAL,CDHP/HDHP,IBM-CCAE,10
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,1,GA,COMMERCIAL,PPO,IBM-CCAE,3850
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,2,OK,COMMERCIAL,Others,IBM-CCAE,11
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,2,UN,COMMERCIAL,HMO,IBM-CCAE,2867
CURRENT,IP,4/1/2018,3/31/2019,0,18-34,1,DE,COMMERCIAL,CDHP/HDHP,IBM-CCAE,3
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,M,NEW ENGLAND,COM,PPO,OPTUM-SES,124
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,MS,COMMERCIAL,Others,IBM-MDCR,30
